"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","visits_raw_w3","visits_u_w3","day_range_w3","active_days_w3","count_domains_w3","diff_day_range_w1_w2","domain_right_w1","domain_center_w1","domain_left_w1","domain_left_w2","domain_right_w2","domain_center_w2","domain_right_w3","domain_center_w3","domain_left_w3","domain_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_left_mean_w2","domain_right_mean_w2","domain_center_mean_w2","domain_right_mean_w3","domain_center_mean_w3","domain_left_mean_w3"
693,53635,28380,90,60,1013,40808,22744,65,46,847,11567,6689,81,24,403,25,5,0,3,4,6,0,13,1,2,0.0833333333333333,0,0.05,0.0869565217391304,0.130434782608696,0,0.541666666666667,0.0416666666666667,0.0833333333333333
694,16942,8692,90,44,668,37605,17807,61,58,755,42328,19057,82,63,897,29,125,0,33,96,784,0,615,0,16,2.84090909090909,0,0.75,1.6551724137931,13.5172413793103,0,9.76190476190476,0,0.253968253968254
695,51633,27599,90,90,817,28596,19388,96,27,306,19603,12540,85,85,267,-6,53,0,13,0,2,0,5,0,0,0.588888888888889,0,0.144444444444444,0,0.0740740740740741,0,0.0588235294117647,0,0
696,8228,4331,24,24,175,10383,5453,94,23,197,9226,5336,92,21,216,-70,1,0,0,0,17,0,15,0,0,0.0416666666666667,0,0,0,0.739130434782609,0,0.714285714285714,0,0
697,27608,11808,91,91,502,26260,11426,92,91,709,31894,14964,82,82,693,-1,18,0,0,7,30,0,46,0,7,0.197802197802198,0,0,0.0769230769230769,0.32967032967033,0,0.560975609756098,0,0.0853658536585366
698,143710,30516,90,78,650,88424,13900,96,34,321,274602,44803,82,78,679,-6,85,0,14,2,73,0,202,2,25,1.08974358974359,0,0.179487179487179,0.0588235294117647,2.14705882352941,0,2.58974358974359,0.0256410256410256,0.320512820512821
699,373,191,82,5,29,12110,6115,103,45,202,1148,644,30,4,54,0,1,0,0,0,91,0,220,0,1,0.2,0,0,0,2.02222222222222,0,55,0,0.25
700,59391,20853,83,62,419,2646,1518,99,7,100,10788,5492,87,35,218,-16,695,34,381,1,6,0,59,0,2,11.2096774193548,0.548387096774194,6.14516129032258,0.142857142857143,0.857142857142857,0,1.68571428571429,0,0.0571428571428571
701,36642,16623,91,85,526,74421,31647,68,68,651,18546,7731,92,88,284,23,1420,30,4,10,1785,1,6,1,0,16.7058823529412,0.352941176470588,0.0470588235294118,0.147058823529412,26.25,0.0147058823529412,0.0681818181818182,0.0113636363636364,0
702,19351,9873,90,87,371,47421,24463,97,89,598,96474,41145,80,74,806,-7,5,0,3,12,15,0,39,0,14,0.0574712643678161,0,0.0344827586206897,0.134831460674157,0.168539325842697,0,0.527027027027027,0,0.189189189189189
