domain,wilson,wilson_cat
waaytv.com,,
wfsb.com,0.0136,Center
wtvm.com,,
citypages.com,-0.5999,Left
mountainx.com,-0.3883,Left
thenational.ae,-0.2521,Left
postandcourier.com,-0.2406,Left
broadcastingcable.com,-0.1685,Center
annistonstar.com,0.1353,Right
nowthisnews.com,0.1546,Right
rgj.com,0.1664,Right
richmondregister.com,0.2305,Right
news-expressky.com,,
kltv.com,0.4223,Right
azdailysun.com,-0.2053,Left
newstimes.com,-0.0205,Center
thesouthern.com,0.0015,Center
sbsun.com,0.1353,Right
wcpo.com,0.1679,Right
stripes.com,0.3034,Right
tcpalm.com,0.3656,Right
waff.com,0.6165,Right
wsbt.com,0.331,Right
sandiegoreader.com,0.0358,Center
oann.com,0.8644,Right
mrctv.org,0.8813,Right
thecabin.net,,
fergusfallsjournal.com,,
wndu.com,0.2519,Right
wtok.com,,
currentaffairs.org,-0.6556,Left
cjr.org,-0.5885,Left
euronews.com,-0.2407,Left
columbiamissourian.com,-0.2004,Left
modbee.com,0.1274,Right
publicopiniononline.com,0.337,Right
baytownsun.com,,
thetab.com,-0.1109,Center
houstonpress.com,-0.3442,Left
people-press.org,-0.3363,Left
wvgazettemail.com,-0.2868,Left
redlandsdailyfacts.com,,
wilx.com,,
wlox.com,0.2466,Right
indyweek.com,-0.6203,Left
beaumontenterprise.com,-0.2306,Left
theaustralian.com.au,-0.0369,Center
centredaily.com,0.1504,Right
dailytelegraph.com.au,0.1737,Right
bdtonline.com,0.2999,Right
record-eagle.com,,
sina.com.cn,,
magnumphotos.com,-0.7156,Left
amny.com,-0.4638,Left
abqjournal.com,-0.1089,Center
greenecountycommonwealth.com,,
saukvalley.com,,
crooked.com,,
afp.com,-0.3436,Left
theamericanconservative.com,0.2098,Right
jonesborosun.com,,
hudsonvalleyone.com,,
lmtribune.com,,
thisweeknews.com,,
daystar.com,0.545,Right
nbc15.com,0.2197,Right
poynter.org,-0.5139,Left
kitv.com,-0.0265,Center
multichannel.com,0.0223,Center
coloradoan.com,0.0497,Center
weeklystandard.com,0.6389,Right
fox19.com,0.4769,Right
kfoxtv.com,0.1708,Right
wset.com,0.4785,Right
mediapost.com,-0.1582,Center
sunjournal.com,-0.0492,Center
gainesville.com,-0.0327,Center
statesman.com,-0.0242,Center
eagletribune.com,0.0239,Center
pnj.com,0.4635,Right
thespectrum.com,0.4745,Right
reuters.tv,-0.4307,Left
law.com,-0.1377,Center
adn.com,-0.1124,Center
uticaod.com,0.2141,Right
commentarymagazine.com,0.4875,Right
rblandmark.com,,
crescent-news.com,,
14news.com,0.2809,Right
5newsonline.com,,
kold.com,,
wtxl.com,0.2042,Right
shareblue.com,-0.7856,Left
spiegel.de,-0.4226,Left
press-citizen.com,-0.0038,Center
shreveporttimes.com,0.3265,Right
thenewsstar.com,0.3706,Right
naplesnews.com,0.374,Right
gowilkes.com,,
thebulwark.com,,
kcchronicle.com,,
wisn.com,0.0974,Right
providencejournal.com,-0.3751,Left
news-gazette.com,0.1922,Right
greeleytribune.com,0.2,Right
city-journal.org,0.5366,Right
projectveritas.com,0.8903,Right
