"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","domain_center_w1","domain_right_w1","domain_left_w1","domain_center_w2","domain_left_w2","domain_right_w2","domain_center_mean_w1","domain_right_mean_w1","domain_left_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2"
5723,1036,598,74,15,73,18946,10647,90,69,387,20,0,2,127,12,0,1.33333333333333,0,0.133333333333333,1.84057971014493,0.173913043478261,0
5726,16598,11650,92,82,289,12703,9202,49,48,264,147,0,1,112,25,0,1.79268292682927,0,0.0121951219512195,2.33333333333333,0.520833333333333,0
5727,12613,10076,92,74,536,17242,12870,91,65,553,21,0,55,4,27,0,0.283783783783784,0,0.743243243243243,0.0615384615384615,0.415384615384615,0
5729,3308,2517,92,24,142,2417,1809,105,17,110,56,0,8,35,5,0,2.33333333333333,0,0.333333333333333,2.05882352941176,0.294117647058824,0
5730,251678,69489,56,56,231,19867,12841,22,17,72,158,0,5,3,6,0,2.82142857142857,0,0.0892857142857143,0.176470588235294,0.352941176470588,0
5732,49247,30630,92,88,904,47223,31152,169,167,1054,890,3,176,1493,304,2,10.1136363636364,0.0340909090909091,2,8.94011976047904,1.82035928143713,0.0119760479041916
5734,9839,5372,91,78,154,7847,4305,89,80,134,42,0,16,32,0,0,0.538461538461538,0,0.205128205128205,0.4,0,0
5737,16195,8427,90,67,349,4061,2547,27,21,141,26,0,3,13,5,1,0.388059701492537,0,0.0447761194029851,0.619047619047619,0.238095238095238,0.0476190476190476
5739,18659,9620,92,55,288,8208,4397,86,53,175,27,1,7,8,5,0,0.490909090909091,0.0181818181818182,0.127272727272727,0.150943396226415,0.0943396226415094,0
5740,21308,11125,84,77,358,1603,763,142,14,62,89,0,5,16,0,0,1.15584415584416,0,0.0649350649350649,1.14285714285714,0,0
5742,11892,7907,91,67,252,13085,7476,131,65,261,159,0,232,340,142,0,2.37313432835821,0,3.46268656716418,5.23076923076923,2.18461538461538,0
