"","person_id","sex","age","edu","suppgov1","suppgov2","ideo1","ideo2","party1","opp_party1","party2","opp_party2","know_1_w2","know_2_w2","know_3_w2","know_4_w2","know_5_w2","know_fac_1_w2","know_fac_2_w2","know_fac_3_w2","know_fac_4_w2","ptc_1_w2","ptc_2_w2","ptc_3_w2","ptc_4_w2","ptc_5_w2","ptc_6_w2","ptc_7_w2","ptc_8_w2","att_imp_1_w1","att_imp_2_w1","att_imp_3_w1","att_imp_4_w1","att_imp_5_w1","att_imp_1_w2","att_imp_2_w2","att_imp_3_w2","att_imp_4_w2","att_imp_5_w2","att_str_1_w1","att_str_2_w1","att_str_3_w1","att_str_4_w1","att_str_5_w1","att_str_1_w2","att_str_2_w2","att_str_3_w2","att_str_4_w2","att_str_5_w2","ft_far_w1","ft_pis_w1","ft_sld_w1","ft_lw_w1","ft_rw_w1","ft_women_w1","ft_rel_w1","ft_eu_w1","ft_econ_w1","ft_far_w2","ft_pis_w2","ft_sld_w2","ft_lw_w2","ft_rw_w2","ft_women_w2","ft_rel_w2","ft_eu_w2","ft_econ_w2","stupid_far_w1","stupid_women_w1","stupid_rel_w1","stupid_eu_w1","stupid_econ_w1","stupid_far_w2","stupid_pis_w2","stupid_sld_w2","stupid_lw_w2","stupid_rw_w2","stupid_women_w2","stupid_rel_w2","stupid_eu_w2","stupid_econ_w2","under_far_w1","under_pis_w1","under_sld_w1","under_lw_w1","under_rw_w1","under_women_w1","under_rel_w1","under_eu_w1","under_econ_w1","under_far_w2","under_pis_w2","under_sld_w2","under_lw_w2","under_rw_w2","under_women_w2","under_rel_w2","under_eu_w2","under_econ_w2","malvol_gov_1_w1","malvol_gov_2_w1","malvol_gov_3_w1","malvol_gov_4_w1","malvol_gov_5_w1","malvol_op_1_w1","malvol_op_2_w1","malvol_op_3_w1","malvol_op_4_w1","malvol_op_5_w1","malvol_gov_1_w2","malvol_gov_2_w2","malvol_gov_3_w2","malvol_gov_4_w2","malvol_gov_5_w2","malvol_op_1_w2","malvol_op_2_w2","malvol_op_3_w2","malvol_op_4_w2","malvol_op_5_w2","comp_1_w1","comp_2_w1","comp_3_w1","comp_4_w1","comp_1_w2","comp_2_w2","comp_3_w2","comp_4_w2","perpol_1_w1","perpol_2_w1","perpol_3_w1","perpol_4_w1","perpol_1_w2","perpol_2_w2","perpol_3_w2","perpol_4_w2","well_act_1_w2","well_act_2_w2","well_act_3_w2","well_act_4_w2","well_act_5_w2","well_feel_1_w2","well_feel_2_w2","well_feel_3_w2","well_feel_4_w2","well_feel_5_w2","well_feel_6_w2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition_control","condition_experimental","condition","party_bin","party_strength","news","news_like","know_w2","know_fac_w2","ptc_w2","att_str_w1","att_str_w2","att_imp_w1","att_imp_w2","ft_party_op_w1","ft_ideo_op_w1","ft_w1","ft_party_op_w2","ft_ideo_op_w2","ft_w2","under_party_op_w1","under_ideo_op_w1","under_w1","under_party_op_w2","under_ideo_op_w2","under_w2","stupid_w1","stupid_w2","malvol_1_w1","malvol_1_w2","malvol_2_w1","malvol_2_w2","malvol_3_w1","malvol_3_w2","malvol_4_w1","malvol_4_w2","malvol_5_w1","malvol_5_w2","malvol_w1","malvol_w2","comp_w1","comp_w2","perpol_w1","perpol_w2","well_feel_w2","well_act_w2"
"11",7043,"Female","Age: 25–34","Education: Bachelor degree",1,1,3,4,9,1,9,1,5,6,3,5,6,1,0,1,1,0,0,0,0,0,0,0,0,5,6,7,7,7,4,4,6,6,7,6,6,7,6,6,4,5,5,5,6,95,NA,NA,NA,53,56,61,75,77,95,NA,NA,NA,55,75,58,33,25,4,NA,6,6,NA,1,NA,NA,NA,2,4,5,6,5,2,NA,NA,NA,5,2,4,2,2,1,NA,NA,NA,3,4,4,4,4,5,6,6,2,1,NA,NA,NA,NA,NA,6,5,5,2,2,0,0,0,0,0,5,5,5,5,1,1,0,3,5,4,6,6,7,7,6,7,4,1,1,2,7,1,4,2,2,4,1,22426,17279,86,82,369,784,33,0,9.5609756097561,38.5553074544829,0,2.88888888888889,4,1,NA,"More News - Control","Anti",4,4.5,0.402439024390244,5,3,0,6.25,4.75,6.25,5,NA,53,71.75,NA,55,65.9166666666667,NA,5,34.1666666666667,NA,3,34,5,4.5,5,6,6,5,6,5,5,5,6,5,5.6,5.2,5,1.25,5.25,6.75,2.33333333333333,3
"12",7041,"Female","Age: 55+","Education: Graduate school",3,3,5,4,2,3,2,3,3,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,6,1,7,6,5,5,4,7,7,5,5,4,6,5,4,5,4,7,6,4,98,97,40,NA,82,86,94,98,89,82,93,27,NA,54,62,57,84,68,4,4,NA,NA,4,2,4,2,NA,4,4,4,6,4,1,1,4,NA,3,2,2,1,3,2,1,6,NA,4,4,4,4,4,3,5,3,3,4,NA,NA,NA,NA,NA,6,3,3,2,2,0,0,0,0,0,3,3,5,2,2,3,2,3,5,5,5,4,6,6,6,2,5,1,1,1,5,4,4,2,2,3,2,19304,11741,91,91,316,2088,22,2,22.9450549450549,38.715988237115,0.021978021978022,4.44444444444444,3,NA,1,"More News - Experiment","Anti",2,3.47252747252747,0.241758241758242,3,2,0,5,5.5,5,5.75,97,82,90.4166666666667,93,54,69.75,1,3,18.1666666666667,1,4,16.5,4,4.25,3,6,5,3,3,3,4,5,3,5,3.6,4.4,3.25,2.5,4.75,5,2.83333333333333,2.6
"13",7040,"Female","Age: 45–54","Education: Graduate school",0,0,5,3,5,1,5,1,6,5,4,3,6,1,1,1,1,1,0,0,0,1,0,0,0,6,7,7,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,100,NA,NA,NA,100,100,100,100,100,100,NA,NA,NA,100,100,100,100,100,7,NA,4,7,NA,1,NA,NA,NA,7,7,7,7,7,5,NA,NA,NA,4,4,4,4,4,1,NA,NA,NA,1,1,3,1,1,7,7,7,1,1,NA,NA,NA,NA,NA,7,7,1,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,7,7,7,7,7,7,7,7,3,2,1,1,7,1,1,1,1,2,1,17942,9597,89,79,325,330,25,0,4.17721518987342,38.6412907826707,0,1.77777777777778,4,1,NA,"More News - Control","Anti",5,4.11392405063291,0.316455696202532,4.8,4,2,7,7,6.75,5.25,NA,100,100,NA,100,100,NA,4,36,NA,1,34.1666666666667,6.25,7,7,7,7,7,7,1,6,6,6,6,6.6,5.4,1,0.25,7,7,1.16666666666667,2.8
"14",7067,"Female","Age: 35–44","Education: High school",0,0,0,0,5,1,8,1,5,3,2,5,6,1,1,1,0,0,0,0,0,0,0,0,0,4,4,5,5,7,6,1,4,4,7,6,4,5,4,7,7,1,4,4,7,99,NA,NA,NA,75,74,81,80,77,99,NA,NA,NA,99,2,50,48,48,7,6,NA,NA,3,4,NA,NA,NA,4,4,5,4,3,3,NA,NA,NA,3,5,3,4,5,3,NA,NA,NA,3,4,4,3,5,7,7,7,1,1,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,4,5,3,4,4,1,1,1,7,2,2,0,2,2,1,741,346,77,8,12,0,0,0,0,38.9577464788732,0,2.88888888888889,3,1,NA,"More News - Control","Anti",5,1.5,0,4.2,3,0,4.75,4,4.5,3.75,NA,75,84,NA,99,78.3333333333333,NA,3,35.4166666666667,NA,3,35.3333333333333,5.75,5.5,7,7,7,7,7,7,6,6,6,6,6.6,6.6,0,0,6.25,4,1.5,2.8
"15",7037,"Female","Age: 35–44","Education: Graduate school",9,2,5,8,4,9,4,5,6,4,4,5,2,1,0,1,1,1,0,0,0,0,1,0,0,1,7,4,6,5,4,6,6,5,2,2,6,5,4,3,1,4,1,4,6,17,NA,85,24,NA,10,46,70,27,20,NA,42,35,NA,55,69,37,49,3,2,NA,NA,4,4,NA,5,3,NA,2,4,6,6,5,NA,6,4,NA,5,6,7,5,2,NA,4,6,NA,5,3,1,3,5,4,2,3,5,NA,NA,NA,NA,NA,7,2,6,4,4,0,0,0,0,0,0,5,5,1,3,5,2,1,4,2,4,6,4,3,2,3,6,5,4,3,1,6,6,2,5,3,6,66472,28209,70,69,951,1634,417,4,23.6811594202899,32.9142682180036,0.0579710144927536,3,4,1,NA,"More News - Control","Pro",4,13.7826086956522,6.04347826086957,4.2,3,2,4.25,2.5,4.5,5.25,85,24,37.75,42,35,39.5,6,4,7.08333333333333,4,6,7,3,3.75,NA,0,NA,0,NA,0,NA,7,NA,7,NA,2.8,2.75,2.75,4,3,4.66666666666667,3.8
"16",7036,"Female","Age: 25–34","Education: Graduate school",8,9,8,7,1,5,1,5,5,5,2,2,5,1,1,1,1,0,0,0,0,0,0,0,0,3,4,6,6,7,4,4,7,6,7,4,5,5,6,5,7,5,7,6,6,100,NA,36,34,NA,69,41,71,48,98,NA,65,64,NA,50,51,56,37,6,2,NA,NA,2,6,NA,5,4,NA,5,4,5,4,1,NA,4,4,NA,2,4,4,4,4,NA,5,3,NA,4,4,5,4,NA,NA,NA,NA,NA,5,7,6,1,2,0,0,0,0,0,7,7,7,1,1,4,2,5,4,4,1,4,3,7,6,6,4,7,5,6,4,7,1,3,2,7,3,2,1,2,3,2,14985,8064,79,78,333,396,137,0,5.07692307692308,37.2013362224629,0,5.88888888888889,6,1,NA,"More News - Control","Pro",3,4.26923076923077,1.75641025641026,3.8,4,0,5,6.25,4.75,5.25,36,34,53.0833333333333,65,64,64.6666666666667,4,4,19.8333333333333,5,3,19.5833333333333,4,5.25,5,7,7,7,6,7,6,6,5,6,5.8,6.6,3.75,3,5.75,5.5,2.16666666666667,4
"17",5312,"Female","Age: 35–44","Education: Vocational degree",7,8,9,10,1,5,1,9,5,3,4,4,5,1,0,1,0,1,0,1,0,0,0,0,0,3,6,3,4,5,1,6,1,4,5,4,6,5,5,5,4,7,6,4,5,100,NA,99,99,NA,99,99,99,99,100,NA,100,100,NA,100,100,100,63,7,NA,4,7,NA,4,NA,4,4,NA,4,4,4,4,2,NA,1,1,NA,2,2,2,2,4,NA,4,4,NA,4,4,4,4,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,7,7,7,1,1,3,3,3,3,3,3,3,3,4,4,7,4,4,7,7,4,1,1,1,6,7,5,4,6,6,5,6,46949,24254,89,89,859,9259,113,206,104.033707865169,37.6880835575249,2.31460674157303,2.22222222222222,4,1,NA,"More News - Control","Pro",2,9.65168539325843,1.26966292134831,4.2,2,2,5,5.25,4,3,99,99,99.1666666666667,100,100,96.9166666666667,1,1,17.8333333333333,4,4,20,6.25,5.5,7,7,7,7,7,7,6,6,6,6,6.6,6.6,3,3,4.75,5.5,5.33333333333333,3.2
"18",7029,"Female","Age: 25–34","Education: Graduate school",7,6,8,8,1,9,1,9,5,3,3,4,6,1,1,1,1,0,0,0,0,0,0,0,0,4,3,4,6,6,3,3,4,7,6,4,5,4,5,5,3,4,4,5,5,97,NA,91,91,NA,43,43,42,42,97,NA,89,85,NA,48,51,53,66,4,NA,4,5,NA,2,NA,4,1,NA,2,3,2,3,1,NA,3,2,NA,4,5,6,3,1,NA,3,1,NA,4,2,3,3,NA,NA,NA,NA,NA,4,5,6,1,2,0,0,0,0,0,5,4,6,1,1,2,1,0,4,2,1,1,3,6,6,5,6,6,7,7,7,4,1,1,1,7,1,3,2,2,1,2,24191,20755,88,82,599,311,52,0,3.79268292682927,38.3236001374098,0,5.66666666666667,3,1,NA,"More News - Control","Pro",2,7.30487804878049,0.634146341463415,4.2,4,0,4.5,4,4.25,4.25,91,91,75.8333333333333,89,85,77.5,3,2,18.8333333333333,3,1,18,4.25,3.25,4,5,5,4,6,6,6,6,5,6,5.2,5.4,1.75,1.75,5.75,6.75,1.83333333333333,2.8
"19",7028,"Female","Age: 25–34","Education: Graduate school",4,4,7,6,2,8,4,6,4,5,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,7,3,2,3,6,6,4,7,3,5,7,2,2,4,6,5,98,72,91,73,NA,55,59,56,97,95,87,82,75,NA,61,49,50,87,7,4,NA,NA,7,2,7,4,4,NA,4,5,5,7,1,4,1,4,NA,4,5,3,2,1,2,1,3,NA,2,2,2,1,7,7,7,1,1,NA,NA,NA,NA,NA,6,6,6,2,2,0,0,0,0,0,1,1,5,4,2,3,3,2,7,3,7,7,7,7,7,7,2,1,1,1,2,4,2,4,4,3,2,20128,17543,143,104,374,599,33,3,5.75961538461539,38.6404387865655,0.0288461538461538,1.22222222222222,4,1,NA,"More News - Control","Anti",1,3.59615384615385,0.317307692307692,4.2,1,0,4.75,3.5,3.75,3.5,72,NA,75.875,87,NA,76.375,4,NA,27.25,2,NA,25.125,6.25,6.125,7,6,7,6,7,6,6,5,6,5,6.6,5.6,2.75,2.5,6,7,3.16666666666667,1.4
"20",7027,"Male","Age: 25–34","Education: Graduate school",3,2,5,2,9,1,6,1,5,4,5,4,4,1,0,1,0,0,0,0,0,0,0,0,0,6,3,6,4,6,6,2,6,6,6,5,2,6,5,6,2,3,5,3,2,83,NA,NA,NA,25,77,80,100,72,81,NA,NA,NA,12,9,6,6,5,4,4,NA,NA,4,4,NA,NA,NA,6,6,5,5,4,4,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,6,6,6,6,5,4,4,4,4,4,NA,NA,NA,NA,NA,4,6,6,5,3,0,0,0,0,0,3,3,3,3,2,5,0,5,4,4,4,4,6,4,5,4,3,2,1,1,5,4,3,1,1,1,2,18704,11205,65,62,450,60,4,1,0.967741935483871,38.8932303498409,0.0161290322580645,3,4,1,NA,"More News - Control","Anti",2,7.25806451612903,0.0645161290322581,4.4,2,0,4.5,3.25,4.75,5,NA,25,63.4166666666667,NA,12,33.1666666666667,NA,4,30.3333333333333,NA,6,30.9166666666667,4,4.5,4,4,4,6,4,6,3,2,3,4,3.6,4.4,3,3,4,4.75,2,2.4
