"","id","wave","person_id","sex","age","edu","party","ideo","approve_trump","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition","party_bin","party_strength","news","news_like","att_imp_gun","att_imp_immigrant","att_imp_climate","att_imp_trump","att_imp_econ","att_str_gun","att_str_immigrant","att_str_climate","att_str_trump","att_str_econ","ft_dem","ft_rep","ft_lib","ft_cons","ft_gun","ft_immigrant","ft_climate","ft_econ","stupid_party_opp","stupid_ind_dem","stupid_ideo_opp","stupid_ind_cons","stupid_gun","stupid_immigrant","stupid_climate","stupid_econ","under_party_opp","under_ideo_opp","under_gun","under_immigrant","under_climate","under_econ","malvol_1","malvol_2","malvol_3","malvol_4","malvol_5","comp_1","comp_2","comp_3","comp_4","perpol_1","perpol_2","perpol_3","perpol_4","att_str","att_imp","ft_party_op","ft_ideo_op","ft","under_party_op","under_ideo_op","under","stupid_party_op","stupid_ideo_op","stupid","malvol","comp","perpol","know","know_1","know_2","know_3","know_4","know_5","know_fac","know_fac_1","know_fac_2","know_fac_3","know_fac_4","ptc","well_act","well_act_1","well_act_2","well_act_3","well_act_4","well_act_5","well_feel","well_feel_1","well_feel_2","well_feel_3","well_feel_4","well_feel_5","well_feel_6","know_r","know_fac_r","ptc_r","att_str_r","att_imp_r","ft_r","under_r","stupid_r","malvol_r","comp_r","perpol_r","well_act_r","well_feel_r","news_r","news_like_r"
"89","45",1,612,"Male","Age: 55+","Education: Bachelor",5,7,5,10827,7680,73,46,411,0,3,23,0,63.6903381642513,0.5,3.11111111111111,6,"No News - Experiment","Republican",1,8.93478260869565,0.0652173913043478,6,6,6,5,4,6,7,6,6,5,95,23,92,21,94,96,81,54,5,NA,5,NA,NA,6,5,NA,2,2,1,1,1,4,6,6,6,6,6,2,2,2,1,6,5,6,7,6,5.5,95,92,67.3125,2,2,1.6875,5,5,4.125,6,1.75,6,6.4,7,6,7,6,6,3,1,1,0,1,3,1.8,3,2,1,1,2,0.5,1,1,1,0,0,0,100,75,33.3333333333333,83.3333333333333,56.25,89.4166666666667,15.2777777777778,69.4444444444444,90,29.1666666666667,83.3333333333333,17.8571428571429,2.77777777777778,51.2149548844901,1.51485652592396
"90","45",2,612,"Male","Age: 55+","Education: Bachelor",5,7,5,10827,7680,73,46,411,0,3,23,0,63.6903381642513,0.5,3.11111111111111,6,"No News - Experiment","Republican",1,8.93478260869565,0.0652173913043478,9,9,9,9,9,7,7,7,7,7,0,90,0,90,86,91,81,82,7,NA,7,NA,7,7,7,7,1,1,1,1,1,1,7,7,7,6,6,0,0,0,0,7,7,7,7,7,9,0,0,21.5,1,1,1,7,7,5.5,6.6,0,7,6.4,7,6,7,6,6,3,1,1,0,1,3,1.8,3,2,1,1,2,0.5,1,1,1,0,0,0,100,75,33.3333333333333,100,100,28.3333333333333,0,100,100,0,100,17.8571428571429,2.77777777777778,51.2149548844901,1.51485652592396
"91","46",1,836,"Male","Age: 35–44","Education: Graduate school",2,1,1,2377,452,2,2,56,0,0,4,0,63.7555555555556,2,6,5,"No News - Control","Democrat",2,28,0,6,7,6,6,7,7,6,6,7,7,84,81,78,77,76,53,69,73,1,NA,2,NA,NA,NA,1,2,6,7,6,6,7,7,6,5,5,1,1,0,0,0,0,4,4,5,6,6.5,6.5,81,77,56.6875,6,6,4.875,1,1,1.125,3.6,0,4.75,5,6,1,6,6,6,1,1,0,0,0,5,3.2,7,3,1,4,1,2.16666666666667,1,4,2,2,2,2,76.6666666666667,25,55.5555555555556,91.6666666666667,68.75,75.25,86.1111111111111,2.77777777777778,50,0,62.5,42.8571428571429,30.5555555555556,81.6465318252649,0
"92","46",2,836,"Male","Age: 35–44","Education: Graduate school",2,1,1,2377,452,2,2,56,0,0,4,0,63.7555555555556,2,6,5,"No News - Control","Democrat",2,28,0,5,5,5,8,9,3,4,3,7,6,88,0,94,0,76,76,79,79,4,NA,2,NA,4,3,3,3,3,4,3,4,3,4,6,6,7,1,6,5,2,0,2,3,4,2,3,4,6,0,0,19.625,3,3,2.625,4,4,3.0625,5.2,2.25,3,5,6,1,6,6,6,1,1,0,0,0,5,3.2,7,3,1,4,1,2.16666666666667,1,4,2,2,2,2,76.6666666666667,25,55.5555555555556,50,62.5,25.8333333333333,36.1111111111111,45.8333333333333,76.6666666666667,37.5,33.3333333333333,42.8571428571429,30.5555555555556,81.6465318252649,0
"93","47",1,110,"Female","Age: 35–44","Education: Bachelor",2,1,1,15613,9020,75,44,474,0,5,35,0,63.6419191919192,0.795454545454545,1.22222222222222,3,"No News - Control","Democrat",2,10.7727272727273,0.113636363636364,7,5,7,7,5,5,6,6,7,6,46,95,47,95,82,94,100,71,6,NA,6,NA,NA,6,NA,3,2,4,2,1,1,4,7,7,7,6,6,2,2,2,1,3,1,6,6,5.75,6,95,95,69.4375,2,2,1.75,6,6,4.375,6.6,1.75,4,4.8,6,5,6,1,6,1,1,0,0,0,5,3.8,7,3,4,4,1,1.16666666666667,1,1,1,1,1,2,73.3333333333333,25,55.5555555555556,79.1666666666667,62.5,92.25,16.6666666666667,75,100,29.1666666666667,50,53.5714285714286,13.8888888888889,56.0369360771162,2.58068769568112
"94","47",2,110,"Female","Age: 35–44","Education: Bachelor",2,1,1,15613,9020,75,44,474,0,5,35,0,63.6419191919192,0.795454545454545,1.22222222222222,3,"No News - Control","Democrat",2,10.7727272727273,0.113636363636364,8,5,8,9,8,4,6,5,7,7,83,0,80,0,75,81,75,77,3,NA,3,NA,4,3,3,3,4,3,3,3,3,3,7,7,7,6,6,0,1,0,1,4,5,4,3,5.5,7.25,0,0,19.5,4,4,3,3,3,2.5625,6.6,0.5,4,4.8,6,5,6,1,6,1,1,0,0,0,5,3.8,7,3,4,4,1,1.16666666666667,1,1,1,1,1,2,73.3333333333333,25,55.5555555555556,75,78.125,25.6666666666667,44.4444444444444,34.7222222222222,100,8.33333333333333,50,53.5714285714286,13.8888888888889,56.0369360771162,2.58068769568112
"95","48",1,331,"Female","Age: 25–34","Education: High school",7,10,7,18728,7336,75,55,195,0,0,9,0,63.7555555555556,0.163636363636364,5.55555555555556,7,"No News - Control","Republican",3,3.54545454545455,0,6,5,4,5,6,6,4,6,6,6,99,33,99,1,75,39,56,56,5,NA,5,NA,NA,NA,5,NA,1,1,4,4,4,2,6,6,6,6,6,4,5,5,6,7,6,7,7,5.5,5.25,99,99,63.875,1,1,1.625,5,5,4,6,5,6.75,3.4,5,3,2,4,3,2,1,0,0,1,2,0.8,1,1,1,1,0,1,1,2,1,1,1,0,50,50,22.2222222222222,75,53.125,84.8333333333333,13.8888888888889,66.6666666666667,90,83.3333333333333,95.8333333333333,0,11.1111111111111,29.0027739541023,0
"96","48",2,331,"Female","Age: 25–34","Education: High school",7,10,7,18728,7336,75,55,195,0,0,9,0,63.7555555555556,0.163636363636364,5.55555555555556,7,"No News - Control","Republican",3,3.54545454545455,0,8,5,4,9,5,6,4,3,7,4,12,54,5,64,73,78,71,49,3,NA,3,NA,4,3,3,3,4,3,3,3,4,4,3,3,3,2,3,1,1,1,2,3,2,4,5,4.25,5.5,12,5,21.4375,4,4,3.125,3,3,2.5625,2.8,1.25,3.5,3.4,5,3,2,4,3,2,1,0,0,1,2,0.8,1,1,1,1,0,1,1,2,1,1,1,0,50,50,22.2222222222222,54.1666666666667,56.25,28.25,47.2222222222222,34.7222222222222,36.6666666666667,20.8333333333333,41.6666666666667,0,11.1111111111111,29.0027739541023,0
"97","49",1,753,"Male","Age: 45–54","Education: Graduate school",1,0,1,16864,9159,66,14,203,0,0,0,0,63.7555555555556,0,5.88888888888889,1,"No News - Control","Democrat",3,14.5,0,7,7,7,7,7,7,7,7,7,7,0,100,0,97,99,99,99,98,7,NA,7,NA,NA,7,NA,7,1,1,1,1,1,1,7,7,7,6,6,5,3,5,4,7,5,7,7,7,7,100,97,74.1875,1,1,1,7,7,5.5,6.6,4.25,6.5,6,6,6,6,6,6,2,0,0,1,1,3,3.2,1,4,3,3,5,2.16666666666667,1,1,3,2,2,4,93.3333333333333,50,33.3333333333333,100,75,98.5833333333333,0,100,100,70.8333333333333,91.6666666666667,42.8571428571429,30.5555555555556,63.8505273406669,0
"98","49",2,753,"Male","Age: 45–54","Education: Graduate school",1,0,1,16864,9159,66,14,203,0,0,0,0,63.7555555555556,0,5.88888888888889,1,"No News - Control","Democrat",3,14.5,0,9,3,1,4,9,7,5,3,6,7,6,8,8,7,38,29,38,6,1,NA,1,NA,3,2,2,1,7,7,5,6,6,7,2,2,2,1,2,1,1,1,1,2,2,5,5,5.5,5.5,8,7,10.9375,7,7,5.25,1,1,1.25,1.8,1,3.5,6,6,6,6,6,6,2,0,0,1,1,3,3.2,1,4,3,3,5,2.16666666666667,1,1,3,2,2,4,93.3333333333333,50,33.3333333333333,75,56.25,14.25,94.4444444444444,5.55555555555556,20,16.6666666666667,41.6666666666667,42.8571428571429,30.5555555555556,63.8505273406669,0
"99","50",1,861,"Male","Age: 25–34","Education: Bachelor",7,10,7,42731,20426,76,68,462,0,15,10,0,63.5349673202615,0.147058823529412,6.66666666666667,6,"No News - Control","Republican",3,6.79411764705882,0.220588235294118,6,5,6,7,7,6,7,6,7,7,90,0,79,0,82,79,41,55,2,NA,5,NA,NA,1,NA,NA,4,3,4,3,5,4,7,7,7,6,6,0,1,1,1,1,1,4,2,6.5,6,90,79,58.5625,4,4,3.25,2,2,1.5,6.6,0.75,2,3.2,5,2,7,1,1,1,1,0,0,0,2,5.8,8,7,7,6,1,2.83333333333333,5,7,1,2,1,1,46.6666666666667,25,22.2222222222222,91.6666666666667,62.5,77.75,50,11.1111111111111,100,12.5,16.6666666666667,89.2857142857143,41.6666666666667,44.3212453973139,4.77945549251376
"100","50",2,861,"Male","Age: 25–34","Education: Bachelor",7,10,7,42731,20426,76,68,462,0,15,10,0,63.5349673202615,0.147058823529412,6.66666666666667,6,"No News - Control","Republican",3,6.79411764705882,0.220588235294118,4,5,8,9,5,6,7,6,6,5,33,84,40,46,32,86,85,87,4,NA,6,NA,6,6,5,5,3,5,7,5,6,5,3,5,6,3,0,2,3,1,0,5,6,7,6,6,5.5,33,40,36.625,3,3,3.1875,4,4,3.625,3.4,1.5,6,3.2,5,2,7,1,1,1,1,0,0,0,2,5.8,8,7,7,6,1,2.83333333333333,5,7,1,2,1,1,46.6666666666667,25,22.2222222222222,83.3333333333333,56.25,48.5,48.6111111111111,58.3333333333333,46.6666666666667,25,83.3333333333333,89.2857142857143,41.6666666666667,44.3212453973139,4.77945549251376
"101","51",1,861,"Male","Age: 25–34","Education: Bachelor",7,10,7,42731,20426,76,68,462,0,15,10,0,63.5349673202615,0.147058823529412,6.66666666666667,6,"No News - Control","Republican",3,6.79411764705882,0.220588235294118,6,5,6,7,7,6,7,6,7,7,90,0,79,0,82,79,41,55,2,NA,5,NA,NA,1,NA,NA,4,3,4,3,5,4,7,7,7,6,6,0,1,1,1,1,1,4,2,6.5,6,90,79,58.5625,4,4,3.25,2,2,1.5,6.6,0.75,2,4.2,6,5,3,5,2,4,1,1,1,1,1,3.2,5,4,1,1,5,0.833333333333333,1,1,1,0,2,0,63.3333333333333,100,11.1111111111111,91.6666666666667,62.5,77.75,50,11.1111111111111,100,12.5,16.6666666666667,42.8571428571429,8.33333333333333,44.3212453973139,4.77945549251376
"102","51",2,861,"Male","Age: 25–34","Education: Bachelor",7,10,7,42731,20426,76,68,462,0,15,10,0,63.5349673202615,0.147058823529412,6.66666666666667,6,"No News - Control","Republican",3,6.79411764705882,0.220588235294118,9,4,3,9,9,2,2,5,2,3,23,95,90,51,92,76,86,40,7,NA,6,NA,4,4,7,3,5,4,2,3,3,2,1,4,1,4,0,5,2,3,1,5,7,7,5,3,6.25,23,90,46.875,5,5,3.375,7,7,4.875,2,2.75,6,4.2,6,5,3,5,2,4,1,1,1,1,1,3.2,5,4,1,1,5,0.833333333333333,1,1,1,0,2,0,63.3333333333333,100,11.1111111111111,33.3333333333333,65.625,62.1666666666667,52.7777777777778,86.1111111111111,23.3333333333333,45.8333333333333,83.3333333333333,42.8571428571429,8.33333333333333,44.3212453973139,4.77945549251376
"103","52",1,637,"Female","Age: 55+","Education: Bachelor",1,1,1,1224,670,78,5,46,0,3,6,0,63.1555555555556,1.2,3,2,"No News - Control","Democrat",3,9.2,0.6,7,7,6,7,6,6,7,6,7,6,6,75,5,79,96,60,51,51,5,NA,5,NA,NA,4,NA,4,3,3,2,3,4,2,5,5,4,3,3,4,2,2,2,2,2,5,6,6.25,6.5,75,79,54.875,3,3,2.4375,5,5,3.75,4,2.5,3.75,3,4,3,1,3,4,4,1,1,1,1,1,2.6,2,2,1,1,7,2.5,1,7,2,3,0,2,43.3333333333333,100,11.1111111111111,87.5,68.75,72.8333333333333,31.9444444444444,61.1111111111111,56.6666666666667,41.6666666666667,45.8333333333333,32.1428571428571,36.1111111111111,51.9633694597325,11.269396059399
"104","52",2,637,"Female","Age: 55+","Education: Bachelor",1,1,1,1224,670,78,5,46,0,3,6,0,63.1555555555556,1.2,3,2,"No News - Control","Democrat",3,9.2,0.6,4,2,3,4,9,2,2,2,5,3,0,99,0,99,50,50,50,50,7,NA,7,NA,4,4,4,6,1,1,4,4,4,3,4,4,1,6,6,3,3,3,3,4,4,7,4,2.25,4.5,99,99,62.25,1,1,1.6875,7,7,4.875,4.2,3,4.75,3,4,3,1,3,4,4,1,1,1,1,1,2.6,2,2,1,1,7,2.5,1,7,2,3,0,2,43.3333333333333,100,11.1111111111111,20.8333333333333,43.75,82.6666666666667,15.2777777777778,86.1111111111111,60,50,62.5,32.1428571428571,36.1111111111111,51.9633694597325,11.269396059399
"105","53",1,445,"Male","Age: 35–44","Education: High school",3,4,1,1877,661,77,55,84,0,0,0,0,63.7555555555556,0,2.77777777777778,3,"No News - Control","Democrat",1,1.52727272727273,0,7,2,2,6,7,7,3,4,6,7,20,18,19,16,48,31,50,17,2,NA,2,NA,NA,2,2,NA,7,6,5,6,5,7,3,2,2,1,2,1,1,1,1,5,2,6,5,5.25,4.5,18,16,17.875,7,7,5.1875,2,2,1.75,2,1,4.5,4,5,4,3,3,5,3,1,1,0,1,1,2.4,3,2,1,1,5,0.5,1,1,0,0,0,1,60,75,11.1111111111111,70.8333333333333,43.75,23.5,93.0555555555556,16.6666666666667,23.3333333333333,16.6666666666667,58.3333333333333,28.5714285714286,2.77777777777778,12.3279775652543,0
"106","53",2,445,"Male","Age: 35–44","Education: High school",3,4,1,1877,661,77,55,84,0,0,0,0,63.7555555555556,0,2.77777777777778,3,"No News - Control","Democrat",1,1.52727272727273,0,9,9,3,9,9,7,4,1,6,6,97,40,97,0,88,58,56,85,5,NA,6,NA,6,4,3,6,5,2,5,4,5,5,7,7,6,6,6,1,3,6,6,6,5,7,6,4.5,7.5,40,0,28.1875,5,5,3.9375,5,5,3.9375,6.4,4,6,4,5,4,3,3,5,3,1,1,0,1,1,2.4,3,2,1,1,5,0.5,1,1,0,0,0,1,60,75,11.1111111111111,58.3333333333333,81.25,37.25,65.2777777777778,65.2777777777778,96.6666666666667,66.6666666666667,83.3333333333333,28.5714285714286,2.77777777777778,12.3279775652543,0
"107","54",1,194,"Female","Age: 25–34","Education: Junior college",3,5,1,69555,33786,77,61,733,0,10,30,0,63.5916211293261,0.491803278688525,6.11111111111111,3,"No News - Experiment","Democrat",1,12.016393442623,0.163934426229508,7,6,4,1,5,6,5,1,7,4,19,93,82,61,75,76,57,86,1,2,3,2,2,NA,NA,3,2,6,5,5,3,5,4,6,5,5,6,5,6,5,4,4,1,2,3,4,5.5,93,61,57.125,2,2,2.375,1,1,1.375,5.2,5,2.5,2.4,4,2,2,2,2,0,0,0,0,0,3,6.4,8,2,8,7,7,4.83333333333333,5,7,5,4,4,4,33.3333333333333,0,33.3333333333333,50,56.25,75.8333333333333,30.5555555555556,8.33333333333333,76.6666666666667,83.3333333333333,25,100,75,58.8897243130222,3.63989121946399
"108","54",2,194,"Female","Age: 25–34","Education: Junior college",3,5,1,69555,33786,77,61,733,0,10,30,0,63.5916211293261,0.491803278688525,6.11111111111111,3,"No News - Experiment","Democrat",1,12.016393442623,0.163934426229508,9,5,8,9,9,5,7,6,7,7,0,100,55,97,2,98,93,79,2,2,3,2,3,1,1,2,1,1,1,1,1,1,4,4,4,4,5,1,1,1,0,6,6,7,6,6.25,7.75,100,97,66.5,1,1,1,2,2,1.6875,4.2,0.75,6.25,2.4,4,2,2,2,2,0,0,0,0,0,3,6.4,8,2,8,7,7,4.83333333333333,5,7,5,4,4,4,33.3333333333333,0,33.3333333333333,87.5,84.375,88.3333333333333,0,15.2777777777778,60,12.5,87.5,100,75,58.8897243130222,3.63989121946399
"109","55",1,672,"Male","Age: 25–34","Education: High school",3,5,1,16683,6847,75,28,223,0,0,0,0,63.7555555555556,0,3.33333333333333,4,"No News - Control","Democrat",1,7.96428571428571,0,7,1,5,1,6,5,3,5,1,6,21,4,83,21,50,59,90,44,3,4,5,4,4,4,NA,NA,3,5,6,3,2,2,5,2,4,6,4,4,5,3,4,4,2,3,6,4.75,4.75,4,21,21.6875,3,3,2.5625,3,3,2.75,4.2,4,3.75,5.2,5,5,4,6,6,2,0,1,0,1,2,2.6,3,1,1,2,6,0.5,1,1,1,0,0,0,80,50,22.2222222222222,62.5,46.875,28.5833333333333,34.7222222222222,38.8888888888889,60,66.6666666666667,45.8333333333333,32.1428571428571,2.77777777777778,48.2948530448866,0
"110","55",2,672,"Male","Age: 25–34","Education: High school",3,5,1,16683,6847,75,28,223,0,0,0,0,63.7555555555556,0,3.33333333333333,4,"No News - Control","Democrat",1,7.96428571428571,0,8,4,9,8,4,6,5,7,7,5,5,76,14,71,88,73,73,57,6,4,6,4,3,4,5,4,4,4,1,2,2,5,4,4,2,3,5,0,1,0,0,4,2,4,4,5.75,6.25,76,71,55.1875,4,4,2.875,6,6,4.25,3.6,0.25,3.5,5.2,5,5,4,6,6,2,0,1,0,1,2,2.6,3,1,1,2,6,0.5,1,1,1,0,0,0,80,50,22.2222222222222,79.1666666666667,65.625,73.25,41.6666666666667,72.2222222222222,50,4.16666666666667,41.6666666666667,32.1428571428571,2.77777777777778,48.2948530448866,0
"111","56",1,134,"Female","Age: 25–34","Education: High school",1,0,1,11658,5460,75,37,224,0,0,36,0,63.7555555555556,0.972972972972973,0.333333333333333,1,"No News - Control","Democrat",3,6.05405405405405,0,4,1,2,3,7,5,1,1,6,6,0,99,0,99,93,57,99,99,7,NA,7,NA,NA,NA,NA,7,1,1,2,4,2,2,4,5,7,6,6,3,3,3,3,5,4,7,4,3.25,3.5,99,99,71.5,1,1,1.375,7,7,5.5,5.6,3,5,4.4,5,5,4,3,5,3,1,1,0,1,0,1.2,2,1,1,1,1,1.16666666666667,1,1,2,1,0,2,66.6666666666667,75,0,37.5,31.25,95,8.33333333333333,100,83.3333333333333,50,66.6666666666667,7.14285714285714,13.8888888888889,41.4871260195075,0
"112","56",2,134,"Female","Age: 25–34","Education: High school",1,0,1,11658,5460,75,37,224,0,0,36,0,63.7555555555556,0.972972972972973,0.333333333333333,1,"No News - Control","Democrat",3,6.05405405405405,0,4,4,4,4,4,4,5,4,5,4,55,55,75,55,60,65,65,60,1,NA,1,NA,1,1,1,1,4,4,4,5,5,4,4,4,4,3,3,1,1,1,3,4,4,3,3,4.25,4,55,55,43.375,4,4,3.375,1,1,1,3.6,1.5,3.5,4.4,5,5,4,3,5,3,1,1,0,1,0,1.2,2,1,1,1,1,1.16666666666667,1,1,2,1,0,2,66.6666666666667,75,0,54.1666666666667,37.5,57.5,52.7777777777778,0,50,25,41.6666666666667,7.14285714285714,13.8888888888889,41.4871260195075,0
"113","57",1,349,"Female","Age: 18–24","Education: High school",6,10,6,13967,8319,75,57,574,0,14,41,0,63.5099415204679,0.719298245614035,2.66666666666667,6,"No News - Experiment","Republican",2,10.0701754385965,0.245614035087719,7,7,7,7,6,7,7,7,7,7,97,15,97,0,29,29,28,30,3,NA,2,NA,NA,NA,NA,2,5,6,7,6,6,6,5,5,4,6,6,6,6,6,6,5,3,7,4,7,6.75,97,97,56,5,5,4.3125,3,3,2.25,5.2,6,4.75,5.2,5,5,6,5,5,0,0,0,0,0,8,3,6,2,1,3,3,4.5,6,6,2,4,4,5,80,0,88.8888888888889,100,71.875,74.3333333333333,73.6111111111111,27.7777777777778,76.6666666666667,100,62.5,39.2857142857143,69.4444444444445,54.2889976208233,5.26609078976269
"114","57",2,349,"Female","Age: 18–24","Education: High school",6,10,6,13967,8319,75,57,574,0,14,41,0,63.5099415204679,0.719298245614035,2.66666666666667,6,"No News - Experiment","Republican",2,10.0701754385965,0.245614035087719,9,8,9,8,3,7,6,7,7,3,26,68,11,83,97,95,80,50,2,NA,2,NA,3,2,6,1,4,2,3,2,2,5,4,5,5,5,6,2,1,1,3,4,5,3,6,5.75,7.25,26,11,29.625,4,4,3,2,2,2,5,1.75,4.5,5.2,5,5,6,5,5,0,0,0,0,0,8,3,6,2,1,3,3,4.5,6,6,2,4,4,5,80,0,88.8888888888889,79.1666666666667,78.125,39.1666666666667,44.4444444444444,22.2222222222222,73.3333333333333,29.1666666666667,58.3333333333333,39.2857142857143,69.4444444444445,54.2889976208233,5.26609078976269
"115","58",1,782,"Female","Age: 45–54","Education: Bachelor",2,5,1,5027,2437,77,16,194,0,1,32,0,63.6930555555556,2,2.77777777777778,4,"No News - Experiment","Democrat",2,12.125,0.0625,5,5,7,5,7,5,5,7,1,5,12,72,78,72,85,92,94,79,7,NA,4,7,7,7,NA,NA,2,2,2,1,1,1,6,6,5,5,6,0,0,0,0,5,6,6,5,5.5,6,72,72,58.125,2,2,1.5625,7,7,5.5,5.6,0,5.5,3.4,4,3,4,3,3,3,1,1,0,1,1,2.2,1,7,2,1,0,3.33333333333333,4,4,3,3,3,3,50,75,11.1111111111111,75,62.5,77.1666666666667,12.5,100,83.3333333333333,0,75,25,50,59.1257677209943,1.45361191209756
"116","58",2,782,"Female","Age: 45–54","Education: Bachelor",2,5,1,5027,2437,77,16,194,0,1,32,0,63.6930555555556,2,2.77777777777778,4,"No News - Experiment","Democrat",2,12.125,0.0625,4,4,4,4,4,4,4,4,4,4,50,49,49,47,44,58,46,48,4,NA,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,49,47,36.5,4,4,3.25,4,4,3.25,3.6,3,4,3.4,4,3,4,3,3,3,1,1,0,1,1,2.2,1,7,2,1,0,3.33333333333333,4,4,3,3,3,3,50,75,11.1111111111111,50,37.5,48.3333333333333,50,50,50,50,50,25,50,59.1257677209943,1.45361191209756
"117","59",1,334,"Male","Age: 55+","Education: Bachelor",2,4,1,18198,11423,77,63,504,0,26,61,0,63.3428571428572,0.968253968253968,2.66666666666667,4,"No News - Experiment","Democrat",2,8,0.412698412698413,6,5,7,7,5,5,6,6,7,4,9,59,31,50,66,71,72,50,4,NA,4,NA,5,NA,5,NA,4,5,3,4,3,4,2,3,3,2,5,0,1,0,1,4,1,4,5,5.25,5.75,59,50,43.6875,4,4,3.125,4,4,3.5,3,0.5,3.5,3.4,4,3,4,3,3,1,0,0,0,1,1,1.6,1,3,1,1,2,1,1,1,1,1,1,1,50,25,11.1111111111111,70.8333333333333,59.375,57.9166666666667,47.2222222222222,55.5555555555556,40,8.33333333333333,41.6666666666667,14.2857142857143,11.1111111111111,48.4078052335499,8.28418040989808
"118","59",2,334,"Male","Age: 55+","Education: Bachelor",2,4,1,18198,11423,77,63,504,0,26,61,0,63.3428571428572,0.968253968253968,2.66666666666667,4,"No News - Experiment","Democrat",2,8,0.412698412698413,4,5,4,5,5,4,4,4,6,5,99,7,99,8,99,99,99,99,2,NA,2,NA,2,2,2,2,1,1,1,1,1,1,6,6,6,6,6,1,1,1,2,5,4,5,4,4.25,4.5,7,8,28.75,1,1,1,2,2,1.75,6,1.25,4.5,3.4,4,3,4,3,3,1,0,0,0,1,1,1.6,1,3,1,1,2,1,1,1,1,1,1,1,50,25,11.1111111111111,54.1666666666667,43.75,38,0,16.6666666666667,90,20.8333333333333,58.3333333333333,14.2857142857143,11.1111111111111,48.4078052335499,8.28418040989808
"119","60",1,160,"Male","Age: 45–54","Education: Junior college",4,5,6,1385,669,77,22,48,0,2,104,0,63.6646464646465,4.72727272727273,2.11111111111111,4,"No News - Experiment","Republican",0,2.18181818181818,0.0909090909090909,4,6,4,4,4,6,6,4,4,4,50,50,50,50,50,50,50,50,4,4,4,4,NA,NA,4,NA,4,4,4,3,4,4,4,4,4,3,3,1,1,1,1,4,4,5,3,5,4.5,50,50,37.75,4,4,3.1875,4,4,3.25,3.6,1,4,2.6,3,3,2,3,2,1,0,0,1,0,1,2,2,2,1,1,4,2.16666666666667,2,3,1,2,3,2,36.6666666666667,25,11.1111111111111,66.6666666666667,43.75,50,48.6111111111111,50,50,16.6666666666667,50,21.4285714285714,30.5555555555556,18.8705525899402,2.08629382403585
"120","60",2,160,"Male","Age: 45–54","Education: Junior college",4,5,6,1385,669,77,22,48,0,2,104,0,63.6646464646465,4.72727272727273,2.11111111111111,4,"No News - Experiment","Republican",0,2.18181818181818,0.0909090909090909,4,4,5,3,4,3,4,5,3,4,68,91,63,86,89,76,82,90,4,4,3,4,5,4,6,3,4,5,3,3,2,2,4,4,4,4,4,2,1,2,3,5,4,5,4,4,4.25,68,63,54.0625,4,4,2.875,4,4,3.375,4,2,4.5,2.6,3,3,2,3,2,1,0,0,1,0,1,2,2,2,1,1,4,2.16666666666667,2,3,1,2,3,2,36.6666666666667,25,11.1111111111111,50,40.625,71.75,41.6666666666667,52.7777777777778,56.6666666666667,33.3333333333333,58.3333333333333,21.4285714285714,30.5555555555556,18.8705525899402,2.08629382403585
"121","61",1,271,"Female","Age: 25–34","Education: Graduate school",1,0,1,11436,6159,62,50,502,0,11,14,0,63.5355555555556,0.28,2.66666666666667,NA,"No News - Experiment","Democrat",3,10.04,0.22,7,7,7,7,4,7,6,7,7,3,21,45,24,55,96,97,92,49,4,NA,3,NA,NA,3,3,NA,3,3,2,2,2,4,6,5,3,3,6,2,1,2,3,4,3,2,5,5.75,6.25,45,55,46.125,3,3,2.375,4,4,3,4.6,2,3.5,5.8,7,6,6,5,5,4,1,1,1,1,2,1,1,2,1,1,0,1.16666666666667,1,1,2,1,1,1,90,100,22.2222222222222,79.1666666666667,65.625,61.1666666666667,30.5555555555556,44.4444444444444,66.6666666666667,33.3333333333333,41.6666666666667,3.57142857142857,13.8888888888889,54.2114579887809,4.76789740442458
"122","61",2,271,"Female","Age: 25–34","Education: Graduate school",1,0,1,11436,6159,62,50,502,0,11,14,0,63.5355555555556,0.28,2.66666666666667,NA,"No News - Experiment","Democrat",3,10.04,0.22,9,8,5,1,8,7,5,6,7,7,0,76,10,58,70,68,60,81,6,NA,1,NA,6,4,4,5,1,6,6,2,2,2,7,6,6,6,6,1,1,0,0,5,3,7,6,6.25,7.5,76,58,51.1875,1,1,1.5,6,6,4.4375,6.2,0.5,5.25,5.8,7,6,6,5,5,4,1,1,1,1,2,1,1,2,1,1,0,1.16666666666667,1,1,2,1,1,1,90,100,22.2222222222222,87.5,81.25,67.9166666666667,11.1111111111111,76.3888888888889,93.3333333333333,8.33333333333333,70.8333333333333,3.57142857142857,13.8888888888889,54.2114579887809,4.76789740442458
