domain,Frequency count in our data,Higher > median (excl. zeros),National outlet to include in ideo scaling,Final include in ideo scaling,Twitter,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound,Ideology 3-level
dziennikpolski24.pl,2780,TRUE,,TRUE,@DzienniPolski,0.1517115,0.012374605,0.2887035,center
egospodarka.pl,2714,TRUE,,TRUE,,,,,
pb.pl,2680,TRUE,,TRUE,@puls_biznesu,-0.1598485,-0.2164852,-0.1065558,center
dziennikwschodni.pl,2569,TRUE,,TRUE,@DziennikLublin,0.08158575,-0.13736025,0.30290535,center
lublin.eu,2550,TRUE,,TRUE,@Miasto_Lublin,-0.0178358,-0.6358822,0.55475455,center
oko.press,2548,TRUE,,TRUE,@oko_press,-0.455286,-0.52146445,-0.3856408,left
wiesci24.pl,2524,TRUE,,TRUE,@Wiesci24pl,-0.633473,-0.8884793,-0.3752095,left
gosc.pl,2384,TRUE,,TRUE,@Gosc_Niedzielny,0.4217125,0.35307635,0.49741635,right
wyborcza.biz,2363,TRUE,,TRUE,,,,,
poradnikprzedsiebiorcy.pl,2321,TRUE,,TRUE,@pPrzedsiebiorcy,,,,
antyradio.pl,2237,TRUE,,TRUE,@Antyradiopl,-0.6173885,-0.89786885,-0.33381715,left
sadeczanin.info,2186,TRUE,,TRUE,@sadeczanin_info,1.816935,1.706732,1.9171645,right
elka.pl,2022,TRUE,,TRUE,,,,,
deon.pl,1831,TRUE,,TRUE,@DEON_PL,0.552313,0.49300355,0.60721405,right
popularne.pl,1792,TRUE,,TRUE,@popularnepl,,,,
to.com.pl,1486,TRUE,,TRUE,@TOstrolecki,,,,
poznan.naszemiasto.pl,1277,TRUE,,TRUE,@Poznan_NM,,,,
opole.naszemiasto.pl,1268,TRUE,,TRUE,@NMopole,,,,
opoka.org.pl,1256,TRUE,,TRUE,@opokapl,1.122265,0.98991105,1.2656165,right
faktykaliskie.pl,1198,TRUE,,TRUE,@faktykaliskiepl,1.072905,0.91876125,1.223276,right
lodz.naszemiasto.pl,1132,TRUE,,TRUE,@Lodznaszemiasto,,,,
forsal.pl,1130,TRUE,,TRUE,@forsalpl,-0.0941791,-0.19366435,0.0018161225,center
wm.pl,1106,TRUE,,TRUE,,,,,
przelom.pl,1085,TRUE,,TRUE,@przelompl,1.22464,1.0208625,1.441688,right
wmeritum.pl,1080,TRUE,,TRUE,@wmeritum,0.6671375,0.5669144,0.7728717,right
innpoland.pl,1005,TRUE,,TRUE,@InnPoland,-0.5170745,-0.61226135,-0.41918235,left
nczas.com,993,TRUE,,TRUE,account suspended,,,,
pap.pl,992,TRUE,,TRUE,@PAPinformacje,0.164181,0.08705275,0.2414549,center
pch24.pl,925,TRUE,,TRUE,@PCh24pl,0.9024425,0.84174545,0.96421995,right
nowiny.pl,882,TRUE,,TRUE,@nowinypl,1.126575,0.9553485,1.308983,right
telewizjarepublika.pl,881,TRUE,,TRUE,@RepublikaTV,0.3742345,0.32700875,0.42313995,right
crowdmedia.pl,876,TRUE,,TRUE,@CrowdMedia_PL,-1.22596,-1.317218,-1.1330705,left
warszawawpigulce.pl,872,TRUE,,TRUE,@Wawawpigulce,0.04579635,-0.30048475,0.3996058,center
dlahandlu.pl,816,TRUE,,TRUE,@dlahandlupl,-0.3427745,-0.48232955,-0.20387135,left
tygodniksiedlecki.com,754,TRUE,,TRUE,@ts_siedlce,0.0669487,-1.374215,1.445494,center
dorzeczy.pl,749,TRUE,,TRUE,@TygodnikLisicki,0.394327,0.32479585,0.46023135,right
krytykapolityczna.pl,685,TRUE,,TRUE,@krytyka,-0.4926275,-0.5616452,-0.4172449,left
300polityka.pl,671,TRUE,,TRUE,@300polityka,0.03367715,-0.034813825,0.1001736,center
aszdziennik.pl,641,TRUE,,TRUE,@ASZdziennik,-0.3909585,-0.486855,-0.2924315,left
24wspolnota.pl,631,TRUE,,TRUE,,,,,
parkiet.com,604,TRUE,,TRUE,@Parkietcom,-0.289,-0.41350295,-0.1636132,left
24kurier.pl,530,TRUE,,TRUE,@24Kurier,0.0815941,-0.04786652,0.21117555,center
tustolica.pl,488,TRUE,,TRUE,@TuStolicaBemowo,,,,
fronda.pl,479,TRUE,,TRUE,@frondapl,0.637337,0.56703295,0.70318105,right
przegladkoninski.pl,435,TRUE,,TRUE,@RedakcjaPK,,,,
polityczek.pl,419,FALSE,TRUE,TRUE,@PolityczekPl,-1.172565,-1.305839,-1.018921,left
radiowroclaw.pl,370,FALSE,,FALSE,@prwpl,,,,
radiomaryja.pl,341,FALSE,TRUE,TRUE,@RadioMaryja,0.4404165,0.3699915,0.5119033,right
polskieradio24.pl,337,FALSE,TRUE,TRUE,@PR24_pl,0.2429185,0.16782485,0.3201035,right
info.elblag.pl,327,FALSE,,FALSE,,,,,
wysokienapiecie.pl,322,FALSE,TRUE,TRUE,@WysokieNapiecie,-0.1650715,-0.23624925,-0.082892725,center
tygodnik.info,299,FALSE,,TRUE,,,,,
gazetaolsztynska.pl,296,FALSE,,FALSE,@Olsztynska,,,,
niezlomni.com,266,FALSE,TRUE,TRUE,@Niezlomni_com,1.35313,1.272808,1.437911,right
olsztyn.com.pl,232,FALSE,,FALSE,@olsztyncompl,,,,
tyna.info.pl,232,FALSE,,FALSE,,,,,
niedziela.pl,228,FALSE,TRUE,TRUE,@niedziela_pl,0.930695,0.86766365,0.99414845,right
regiony.tvp.pl,226,FALSE,TRUE,TRUE,,,,,
supernowosci24.pl,223,FALSE,TRUE,TRUE,@SuperNowosci24,0.05767885,-0.27842565,0.42081595,center
radiolodz.pl,217,FALSE,,FALSE,@radiolodz,,,,
tygodnik.pl,215,FALSE,,FALSE,,,,,
tysol.pl,200,FALSE,TRUE,TRUE,@Tysol,0.6779305,0.5803392,0.7835069,right
tygodnikpowszechny.pl,187,FALSE,TRUE,TRUE,@tygodnik,-0.343528,-0.4375777,-0.2512292,left
ostrowiecka.pl,187,FALSE,,FALSE,@GazataOst,,,,
zycie.pl,187,FALSE,TRUE,TRUE,,,,,
tp.com.pl,186,FALSE,,FALSE,@tygodnikplocki,,,,
politykazdrowotna.com,181,FALSE,TRUE,TRUE,@PolitykaZdrowot,-0.105348,-0.26108565,0.050965105,center
limanowa.in,175,FALSE,,FALSE,@Limanowain,,,,
tv-trwam.pl,174,FALSE,TRUE,TRUE,@TV_Trwam,0.563657,0.50619095,0.62520785,right
radiopoznan.fm,172,FALSE,,FALSE,@RadioPoznanSA,,,,
biznesalert.pl,169,FALSE,TRUE,TRUE,@BiznesAlert,0.07636325,0.012763115,0.14084925,center
gazetacz.com.pl,168,FALSE,,FALSE,,,,,
zyciesiedleckie.pl,166,FALSE,,FALSE,,,,,
dzienniknarodowy.pl,162,FALSE,TRUE,TRUE,@Dziennik_N,0.9793125,0.8950909,1.0623735,right
eglos.pl,154,FALSE,,FALSE,@tygodnik_glos,,,,
newseria.pl,151,FALSE,TRUE,TRUE,,,,,
wsensie.pl,148,FALSE,TRUE,TRUE,@wSensie,0.7474535,0.67494395,0.8286507,right
superstacja.tv,141,FALSE,TRUE,TRUE,@tvsuperstacja,-0.2442585,-0.3405398,-0.14840025,left
wgospodarce.pl,136,FALSE,TRUE,TRUE,@wgospodarce,0.353207,0.23857335,0.4732277,right
kresy.pl,126,FALSE,,FALSE,@KRESYPL,,,,
energetyka24.com,121,FALSE,TRUE,TRUE,@Energetyka_24,0.1833965,0.087629865,0.274147,center
cire.pl,118,FALSE,TRUE,TRUE,@cire_pl,-0.150829,-0.2344066,-0.076527565,center
wprawo.pl,111,FALSE,TRUE,TRUE,@wPrawopl,0.8901065,0.6774133,1.102136,right
tygodnikzamojski.pl,107,FALSE,,FALSE,@tygodnikzamojsk,,,,
shareinfo.pl,101,FALSE,TRUE,TRUE,@ShareInfoPL,0.8907755,0.74837635,1.02286,right
stefczyk.info,96,FALSE,TRUE,TRUE,account suspended,,,,
thefad.pl,96,FALSE,TRUE,TRUE,@thefadpl,-1.076575,-1.5814175,-0.5683957,left
wiadomo.co,95,FALSE,TRUE,TRUE,@wiadomo_co,-0.8306365,-0.90456515,-0.76040755,left
24tp.pl,87,FALSE,,FALSE,@24tp_pl,,,,
